Alpha,train_score,test_score
3.27,0.6055108200263561,0.6042129104326086
3.2800000000000002,0.6055093938317782,0.6042118565848573
3.29,0.6055079645344779,0.6042108000586913
3.3000000000000003,0.6055065321405229,0.6042097408594412
3.31,0.6055050966559682,0.6042086789924273
3.3200000000000003,0.6055036580868576,0.6042076144629591
3.33,0.6055022164392234,0.604206547276336
3.34,0.6055007717190861,0.6042054774378474
3.35,0.6054993239324544,0.6042044049527717
3.36,0.6054978730853257,0.6042033298263771
3.37,0.6054964191836854,0.6042022520639221
3.38,0.6054949622335077,0.6042011716706538
3.39,0.6054935022407553,0.6042000886518104
3.4,0.605492039211379,0.6041990030126185
3.41,0.6054905731513185,0.6041979147582959
3.42,0.605489104066502,0.6041968238940488
3.43,0.6054876319628459,0.6041957304250742
3.44,0.605486156846256,0.6041946343565587
3.45,0.6054846787226256,0.6041935356936787
3.46,0.6054831975978378,0.6041924344416005
3.47,0.6054817134777633,0.6041913306054802
3.48,0.605480226368262,0.604190224190464
3.49,0.605478736275183,0.604189115201688
3.5,0.6054772432043631,0.6041880036442788
3.5100000000000002,0.6054757471616288,0.6041868895233519
3.52,0.6054742481527946,0.6041857728440136
3.5300000000000002,0.6054727461836645,0.6041846536113602
3.54,0.6054712412600308,0.604183531830478
3.5500000000000003,0.6054697333876751,0.604182407506443
3.56,0.6054682225723671,0.604181280644322
3.5700000000000003,0.6054667088198666,0.6041801512491713
3.58,0.6054651921359211,0.604179019326038
3.59,0.6054636725262683,0.6041778848799586
3.6,0.6054621499966335,0.6041767479159603
3.61,0.6054606245527321,0.6041756084390605
3.62,0.6054590962002679,0.6041744664542666
3.63,0.605457564944934,0.6041733219665765
3.64,0.6054560307924125,0.6041721749809781
3.65,0.6054544937483746,0.6041710255024499
3.66,0.6054529538184806,0.6041698735359605
3.67,0.60545141100838,0.604168719086469
3.68,0.6054498653237111,0.6041675621589245
3.69,0.6054483167701021,0.604166402758267
3.7,0.6054467653531697,0.6041652408894267
3.71,0.60544521107852,0.604164076557324
3.72,0.6054436539517487,0.6041629097668697
3.73,0.6054420939784404,0.6041617405229656
3.74,0.6054405311641691,0.6041605688305035
3.75,0.6054389655144978,0.6041593946943657
3.7600000000000002,0.6054373970349798,0.6041582181194254
